brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,Touchscreen,msoffice,rating,Price
ASUS,Intel,Core i3,10,4,DDR4,256,1024,Windows,0,No,No,3,40990
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,Yes,3,43990
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,Yes,3,43590
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,0,No,Yes,4,41390
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,0,No,Yes,3,44290
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,No,3,48999
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,0,No,Yes,3,39990
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,0,No,No,2,46390
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,3,18990
ASUS,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,3,17990
HP,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,26470
HP,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,27990
Lenovo,Intel,Celeron Dual,11,4,DDR4,0,1024,Windows,0,No,No,3,29999
Lenovo,Intel,Celeron Dual,11,4,LPDDR4X,0,512,Windows,0,No,No,3,25990
Lenovo,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,3,16990
Lenovo,Intel,Celeron Dual,11,4,LPDDR4,0,512,Windows,0,No,No,2,24990
acer,Intel,Core i5,11,8,DDR5,0,512,Windows,4,No,No,4,50990
acer,Intel,Core i5,11,8,LPDDR4,0,512,Windows,0,No,No,4,119990
acer,Intel,Core i5,10,8,LPDDR4,0,512,DOS,0,No,No,4,94190
ASUS,Intel,Core i5,10,8,LPDDR4,0,512,DOS,4,No,No,4,106167
DELL,Intel,Core i5,10,8,LPDDR4,0,512,DOS,4,No,No,1,68090
DELL,Intel,Core i5,10,8,LPDDR4,0,512,DOS,0,No,No,3,139990
HP,Intel,Core i5,10,8,LPDDR4,0,512,DOS,0,No,No,4,55990
HP,Intel,Core i5,10,8,LPDDR4,0,512,DOS,4,No,No,3,102551
Lenovo,Intel,Core i5,10,8,LPDDR4,0,512,DOS,2,No,No,4,46990
HP,Intel,Core i5,8,8,DDR4,128,0,Windows,0,No,No,4,76012
Lenovo,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,Yes,4,49490
acer,Intel,Core i5,7,8,DDR3,256,0,Windows,0,No,Yes,4,86867
ASUS,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,No,3,48990
DELL,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,No,3,55990
acer,Intel,Core i5,8,8,DDR3,256,0,Windows,0,Yes,Yes,4,81998
HP,Intel,Core i5,8,8,DDR4,256,0,Windows,0,Yes,Yes,3,136590
acer,Intel,Core i5,8,8,DDR4,256,0,Windows,0,No,No,3,59490
ASUS,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,No,3,49800
Lenovo,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,Yes,2,61999
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,54990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,53990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,52990
HP,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,Yes,4,67990
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,4,No,No,4,57990
Lenovo,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,Yes,4,62300
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,3,52990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,51990
Lenovo,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,4,61990
ASUS,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,Yes,Yes,4,63990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,65990
acer,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,52990
Lenovo,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,No,3,49990
ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,No,4,71990
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,No,4,47990
Lenovo,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,Yes,4,48490
ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,No,4,72990
MSI,Intel,Core i5,11,16,DDR4,512,0,Windows,4,No,No,4,76990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,6,No,Yes,4,89990
MSI,Intel,Core i5,10,8,DDR4,512,0,Windows,4,No,No,4,59990
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,4,No,Yes,4,65990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,No,4,71990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,No,4,71890
Lenovo,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,3,64990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,3,65990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,55999
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,4,No,No,4,73490
HP,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,Yes,4,74490
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,58340
acer,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,55999
DELL,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,4,67990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,4,59990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,6,No,Yes,4,82990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,2,No,Yes,3,64190
DELL,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,4,70090
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,2,No,No,4,49990
MSI,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,3,55490
HP,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,Yes,No,5,97990
ASUS,Intel,Core i5,9,8,DDR4,512,0,Windows,4,No,Yes,4,54990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,59990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,53990
HP,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,Yes,4,66999
acer,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,No,Yes,4,60990
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,Yes,4,47990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,59999
DELL,Intel,Core i5,10,16,DDR4,512,0,Windows,4,No,No,3,79990
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,4,No,No,3,63990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,63990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,3,59990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,3,55990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,3,59990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,63990
DELL,Intel,Core i5,11,16,DDR4,512,0,Windows,2,No,Yes,3,69490
DELL,Intel,Core i5,11,16,DDR4,512,0,Windows,0,Yes,Yes,3,89390
ASUS,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,No,No,3,74990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,64990
Lenovo,Intel,Core i5,10,8,DDR4,512,0,Windows,4,No,Yes,4,66490
DELL,Intel,Core i5,11,16,DDR4,512,0,Windows,2,No,Yes,3,89702
Lenovo,Intel,Core i5,11,16,DDR4,512,0,Windows,2,No,Yes,4,70990
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,Yes,Yes,3,58990
Lenovo,Intel,Core i5,10,8,DDR4,512,0,Windows,2,No,Yes,3,57500
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,2,Yes,Yes,4,79990
MSI,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,No,4,56541
ASUS,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,No,3,59990
Lenovo,Intel,Core i5,11,16,DDR4,512,0,Windows,0,No,Yes,4,64990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,3,61290
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,54990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,59990
ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,6,No,No,5,84990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,72500
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,No,3,59990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,87990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,57990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,69490
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,68990
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,77990
ASUS,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,Yes,No,4,105990
MSI,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,No,No,3,79990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,55490
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,69990
ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,84990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,3,59990
DELL,Intel,Core i5,10,8,LPDDR4X,512,0,Windows,0,No,Yes,3,111890
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,2,No,No,4,65990
ASUS,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,No,Yes,4,72990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,71090
MSI,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,No,3,74990
ASUS,Intel,Core i5,10,8,LPDDR3,512,0,Windows,0,No,Yes,4,79990
MSI,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,No,4,55490
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,2,No,Yes,4,66490
ASUS,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,53400
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,74500
DELL,Intel,Core i5,11,8,LPDDR4X,512,0,Windows,0,No,Yes,3,114990
DELL,Intel,Core i5,11,8,DDR4,512,0,Windows,2,No,No,4,61990
APPLE,Intel,Core i5,10,8,LPDDR4X,512,0,Mac,0,No,No,4,159990
APPLE,Intel,Core i5,8,8,DDR3,512,0,Mac,0,No,No,4,172090
MSI,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,No,3,74990
MSI,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,No,4,56490
Lenovo,Intel,Core i5,10,8,DDR4,512,0,Windows,0,No,No,3,147000
Lenovo,Intel,Core i5,11,8,DDR4,512,0,Windows,0,No,Yes,4,55990
HP,Intel,Core i5,11,8,DDR4,512,0,Windows,4,No,Yes,3,77990
